sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
223,Dhanaji Sitaram Ahire,SAKRI (ST),INC,0,12th Pass,30059101,2961517,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=476,main_election
224,Dhananjay Hari Gadgil,SANGLI,BJP,0,Graduate,282148241,62298310,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1052,main_election
225,Vijay Alias Balasaheb Bhausaheb Thorat,SANGMNER,INC,0,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=585,main_election
226,Deshmukh Ganpatrao Annasaheb,SANGOLA,Peasants And Workers Party of India,0,Graduate Professional,16591731,500000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3136,main_election
227,Sunil Chhatrapal Kedar,SAVNER,INC,7,Post Graduate,34036501,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=487,main_election
228,Deepak Vasant Kesarkar,SAWANTWADI,SHS,0,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2980,main_election
229,Padvi Udesing Kocharu,SHAHADA (ST),BJP,0,12th Pass,18801268,2010725,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=402,main_election
230,Pandurang Borora,SHAHAPUR (ST),NCP,0,Graduate,57799902,11379207,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1107,main_election
231,Satyajeet Babasaheb Patil (aba) Sarudka,SHAHUWADI,SHS,0,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=3202,main_election
232,Monika Rajiv Rajale,SHEVGAON,BJP,1,Graduate,63144794,16616585,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1180,main_election
233,Naik Shivajirao Yashwantrao,SHIRALA,BJP,0,Graduate,38885318,2117926,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2122,main_election
234,Radhakrishna Eknathrao Vikhe Patil,SHIRDI,INC,0,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=586,main_election
235,Patil Ulhas Sambhaji,SHIROL,SHS,6,Graduate,4080193,706318,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2345,main_election
236,Kashiram Vechan Pawara,SHIRPUR (ST),INC,0,Literate,7182880,2770090,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=478,main_election
237,Pacharne Baburao Kashinath,SHIRUR,BJP,3,10th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=975,main_election
238,Ajay Choudhari,SHIVADI,SHS,9,10th Pass,47530642,3437735,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=2390,main_election
239,Vijay Jaywant Kale,SHIVAJINAGAR,BJP,0,10th Pass,222635327,41980581,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1178,main_election
240,Jagtap Rahul Kundlikrao,SHRIGONDA,NCP,5,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1128,main_election
241,Bhausaheb Malhari Kamble,SHRIRAMPUR (SC),INC,2,12th Pass,22638085,4424966,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=587,main_election
242,Avadhut Anil Tatkare,SHRIVARDHAN,NCP,0,10th Pass,73955437,14276020,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1121,main_election
243,Abdul Sattar Abdul Nabi,SILLOD,INC,0,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=543,main_election
244,Rawal Jaykumar Jitendrasinh,SINDAKHEDA,BJP,2,Graduate,80409845,8833028,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=297,main_election
245,Khedekar Shashikant Narsingrao,SINDHKHED RAJA,SHS,8,Graduate Professional,8476836,1807319,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1219,main_election
246,Parag Prakash Waje,SINNAR,SHS,0,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=626,main_election
247,Capt.tamil Selvan,SION KOLIWADA,BJP,0,10th Pass,24392711,2000000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=966,main_election
248,Shinde Praniti Sushilkumar,SOLAPUR CITY CENTRAL,INC,3,Graduate Professional,41933207,2000000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=596,main_election
249,Deshmukh Vijaykumar Sidramappa,SOLAPUR CITY NORTH,BJP,3,Graduate,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=993,main_election
250,Deshmukh Subhash Sureshchandra,SOLAPUR SOUTH,BJP,10,10th Pass,319146182,36580789,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=994,main_election
251,Raosaheb Ramrao Patil,TASGAON-KAVATHE MAHANKAL,NCP,0,Graduate Professional,12303760,462598,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1154,main_election
252,Adv. Yashomati Chandrakant Thakur,TEOSA,INC,3,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=357,main_election
253,Sanjay Kelkar,THANE,BJP,0,Graduate,20618256,4538000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1172,main_election
254,Vijay Rahangdale,TIRORA,BJP,0,Graduate,23860537,1150000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1156,main_election
255,Chavan Madhukarrao Deoraoa,TULJAPUR,INC,2,5th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=594,main_election
256,Charan Waghmare,TUMSAR,BJP,2,12th Pass,18102174,2756376,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=907,main_election
257,Sudhakar Sangram Bhalerao,UDGIR (SC),BJP,0,Doctorate,45340791,2800000,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=794,main_election
258,Jyoti Pappu Kalani,ULHASNAGAR,NCP,10,Others,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=4673,main_election
259,Rajendra Najardhane,UMARKHED (ST),BJP,0,Post Graduate,11367728,4410500,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=915,main_election
260,Sudhir Parve,UMRED (SC),BJP,1,12th Pass,21328788,12989766,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=900,main_election
261,Manohar Gajanan Bhoir,URAN,SHS,2,12th Pass,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1374,main_election
262,Jagdish Tukaram Mulik,VADGAON SHERI,BJP,1,Graduate,1048812622,0,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=979,main_election
263,Bhausaheb Ramrao Patil,VAIJAPUR,NCP,0,Graduate,23401455,11224707,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=1098,main_election
264,Adv. Ashish Shelar,VANDRE WEST,BJP,2,Graduate Professional,,,https://www.myneta.info/maharashtra2014/candidate.php?candidate_id=965,main_election
