sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
80,Raj Pal Singh Shekhawat,JHOTWARA,BJP,0,Post Graduate,33704000,1228837,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=302,main_election
81,Brijender Singh Ola,JHUNJHUNU,INC,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=91,main_election
82,Kailash Bhanshali,JODHPUR,BJP,0,Graduate Professional,33399293,4021163,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=843,main_election
83,Ku Jagat Singh,KAMAN,BJP,2,Graduate,72751270,24536000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1413,main_election
84,Arjun Lal,KAPASAN,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=611,main_election
85,Surender Pal Singh,KARANPUR,BJP,0,Graduate,17886795,1257777,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=164,main_election
86,Darshan Singh,KARAULI,INC,2,8th Pass,2861000,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1176,main_election
87,Mangal Ram,KATHUMAR,BJP,2,10th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1406,main_election
88,Shatrughan Gautam,KEKRI,BJP,0,Graduate,19333076,2700000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1023,main_election
89,Babu Lal Verma,KESHORAIPATAN,BJP,0,Post Graduate,26094190,4301548,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1683,main_election
90,Vishwanath Meghwal,KHAJUWALA,BJP,0,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=223,main_election
91,Jitendra Kumar Gothwal,KHANDAR,BJP,1,10th Pass,32400000,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1090,main_election
92,Banshidhar,KHANDELA,BJP,0,Graduate,49515795,700000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=270,main_election
93,Narendra Nagar,KHANPUR,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=417,main_election
94,Nana Lal Ahari,KHERWARA,BJP,0,10th Pass,63949479,3975000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=680,main_election
95,Pooranmal Saini,KHETRI,BSP,0,Graduate Professional,79282955,2218536,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=255,main_election
96,Hanuman Beniwal,KHINVSAR,IND,1,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=993,main_election
97,Lalit Kumar,KISHANGANJ,BJP,0,Post Graduate,1082831,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=441,main_election
98,Bhagirath Chaudhary,KISHANGARH,BJP,0,12th Pass,50074952,4770234,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1063,main_election
99,Ramhet Singh,KISHANGARH BAS,BJP,0,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=363,main_election
100,Mohan Lal,KISHANPOLE,BJP,0,Graduate Professional,40058118,2129986,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=329,main_election
101,Bhanwar Singh Bhati,KOLAYAT,INC,0,12th Pass,28904975,6123905,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=84,main_election
102,Prahlad Gunjal,KOTA NORTH,BJP,0,Graduate Professional,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=473,main_election
103,Om Birla,KOTA SOUTH,BJP,2,Post Graduate,26998488,1075186,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=468,main_election
104,Rajendra Singh Yadav,KOTPUTLI,INC,0,Graduate,273903326,53487833,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=100,main_election
105,Surendra Singh Rathore,KUMBHALGARH,BJP,2,12th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=565,main_election
106,Bhima,KUSHALGARH,BJP,0,8th Pass,3798172,155620,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=614,main_election
107,Govind Singh,LACHMANGARH,INC,0,Graduate Professional,12870350,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1747,main_election
108,Manohar Singh,LADNUN,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1016,main_election
109,Bhawani Singh Rajawat,LADPURA,BJP,9,Graduate,9766600,3000000,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=464,main_election
110,Kirodilal,LALSOT,NPEPT,1,Graduate Professional,21836007,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1116,main_election
111,Gajendra Singh,LOHAWAT,BJP,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=885,main_election
112,Jogaram Patel,LUNI,BJP,0,Graduate Professional,44024732,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=820,main_election
113,Manik Chand,LUNKARANSAR,IND,0,Post Graduate,10704392,1946880,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1094,main_election
114,Omprakash,MAHUWA,BJP,0,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1143,main_election
115,Shreeram Bhincher,MAKRANA,BJP,0,10th Pass,8501624,1488245,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=969,main_election
116,Kanhiya Lal,MALPURA,BJP,0,Others,225039800,130590555,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1906,main_election
117,Kalicharan Sarraf,MALVIYA NAGAR,BJP,1,Post Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=339,main_election
118,Kalu Lal,MANDAL,BJP,0,Graduate Professional,28009934,5287350,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=539,main_election
119,Kirtikumari,MANDALGARH,BJP,0,Graduate,2060217,0,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1713,main_election
120,Narendra Kumar,MANDAWA,IND,0,Graduate,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1728,main_election
121,Kanwar Lal,MANOHAR THANA,BJP,6,10th Pass,2943671,1077848,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=411,main_election
122,Kesaram Choudhary,MARWAR JUNCTION,BJP,0,10th Pass,23687590,2560383,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=925,main_election
123,Sushil Kanwar Palara,MASUDA,BJP,0,8th Pass,,,https://www.myneta.info/rajasthan2013/candidate.php?candidate_id=1976,main_election
