sno,name,constituency,party,criminal_cases,education,total_assets,liabilities,candidate_url,election_type
193,RAJU KUMAR SINGH,Sahebganj,JD(U),3,Graduate Professional,64686057,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1241,main_election
194,PARVEEN AMANULLAH,Sahebpur Kamal,JD(U),0,Graduate,29420937,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1749,main_election
195,SURESH CHANCHAL,Sakra (SC),JD(U),0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1139,main_election
196,AKHTARUL ISLAM SAHIN,Samastipur,RJD,1,12th Pass,7165000,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=876,main_election
197,Sanjay Singh (Tiger),Sandesh,BJP,1,Post Graduate,1788435,5000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1977,main_election
198,VIJAY KUMAR CHAUDHARY,Sarairanjan,JD(U),0,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=969,main_election
199,Jawahar Prasad,Sasaram,BJP,1,5th Pass,1197896,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2518,main_election
200,MUNNI DEVI,Shahpur,BJP,0,Literate,1775403,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2033,main_election
201,RANDHIR KUMAR SONI,Sheikhpura,JD(U),5,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1886,main_election
202,Sharfuddin,Sheohar,JD(U),1,10th Pass,5115128,222603,https://www.myneta.info/bih2010/candidate.php?candidate_id=697,main_election
203,VINOD PRASAD YADAV,Sherghati,JD(U),0,Post Graduate,2532193,48957,https://www.myneta.info/bih2010/candidate.php?candidate_id=2656,main_election
204,RAMESHWAR PASWAN,Sikandra (SC),JD(U),0,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1646,main_election
205,Anandi Prasad Yadav,Sikti,BJP,5,12th Pass,7712147,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=152,main_election
206,DR. ARUN KUMAR,Simri Bakhtiarpur,JD(U),0,Doctorate,15452943,600000,https://www.myneta.info/bih2010/candidate.php?candidate_id=87,main_election
207,RAMESH RISHIDEV,Singheshwar (SC),JD(U),0,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=399,main_election
208,Sunil Kumar Alias Pintu,Sitamarhi,BJP,3,Graduate,11420947,46341,https://www.myneta.info/bih2010/candidate.php?candidate_id=1326,main_election
209,Vyasdeo Prasad,Siwan,BJP,0,Graduate,1638900,1000000,https://www.myneta.info/bih2010/candidate.php?candidate_id=986,main_election
210,RATNESH SADA,Sonbarsha (SC),JD(U),0,12th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=618,main_election
211,RAMCHANDRA SAHANI,Sugauli,BJP,1,Post Graduate,1807396,39000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1676,main_election
212,Subodh Rai,Sultanganj,JD(U),0,Not Given,34111,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1613,main_election
213,BIJENDRA PRASAD YADAV,Supaul,JD(U),0,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=199,main_election
214,Shahid Ali Khan,Sursand,JD(U),1,Graduate Professional,8585617,100000,https://www.myneta.info/bih2010/candidate.php?candidate_id=1304,main_election
215,Prem Ranjan Patel,Suryagarha,BJP,0,Post Graduate,4255362,57500,https://www.myneta.info/bih2010/candidate.php?candidate_id=1794,main_election
216,Janak Singh,Taraiya,BJP,4,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1495,main_election
217,NEETA CHOUDHARY,Tarapur,JD(U),0,Graduate,15309201,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1639,main_election
218,Narendra Kumar Pandey Alias Sunil Pandey,Tarari,JD(U),23,Doctorate,7872171,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2016,main_election
219,LALAN KUMAR,Teghra,BJP,3,Post Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1732,main_election
220,Naushad Alam,Thakurganj,LJP,2,Graduate,2254800,4000,https://www.myneta.info/bih2010/candidate.php?candidate_id=36,main_election
221,DR. ANIL KUMAR,Tikari,JD(U),0,Post Graduate,4370800,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=2682,main_election
222,Amala Devi,Triveniganj (SC),JD(U),0,10th Pass,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=209,main_election
223,Durga Prasad Singh,Ujiarpur,RJD,1,Post Graduate,1026571,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=895,main_election
224,Brishin Patel,Vaishali,JD(U),2,Graduate,17212583,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1400,main_election
225,Rajesh Singh,Valmiki Nagar,JD(U),4,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=1368,main_election
226,Ashok Kumar,Warisnagar,JD(U),0,Graduate,10911310,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=853,main_election
227,Pradip Kumar,Warsaliganj,JD(U),18,12th Pass,1299107,0,https://www.myneta.info/bih2010/candidate.php?candidate_id=1931,main_election
228,VIRENDRA SINGH,Wazirganj,BJP,1,Graduate,,,https://www.myneta.info/bih2010/candidate.php?candidate_id=2140,main_election
