timestamp,state,year,constituency,candidate_name,url,reason
2025-06-03T22:11:54.956304,Andhra_Pradesh,2009,ASWARAOPETA (ST),Mithrasena Vaggela,https://www.myneta.info/ap09/candidate.php?candidate_id=91,No candidate image directory references found
2025-06-03T22:11:55.721508,Andhra_Pradesh,2009,ATMAKUR,Anam Rama Narayana Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=1845,No candidate image directory references found
2025-06-03T22:11:56.331705,Andhra_Pradesh,2009,AVANIGADDA,Ambati Brahmanaiah,https://www.myneta.info/ap09/candidate.php?candidate_id=3092,No candidate image directory references found
2025-06-03T22:11:57.113934,Andhra_Pradesh,2009,BADVEL (SC),Kamalamma P. M.,https://www.myneta.info/ap09/candidate.php?candidate_id=2272,No candidate image directory references found
2025-06-03T22:11:57.864269,Andhra_Pradesh,2009,BAHDURPURA,Mohd. Moazam Khan,https://www.myneta.info/ap09/candidate.php?candidate_id=1037,No candidate image directory references found
2025-06-03T22:11:58.507914,Andhra_Pradesh,2009,BALKONDA,E Anil Kumar,https://www.myneta.info/ap09/candidate.php?candidate_id=1211,No candidate image directory references found
2025-06-03T22:11:59.174463,Andhra_Pradesh,2009,BANAGANAPALLE,Katasani Rami Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=3117,No candidate image directory references found
2025-06-03T22:11:59.823593,Andhra_Pradesh,2009,BANSWADA,POCHARAM SRINIVAS REDDY (PARIGE),https://www.myneta.info/ap09/candidate.php?candidate_id=235,No candidate image directory references found
2025-06-03T22:12:00.395407,Andhra_Pradesh,2009,BAPATLA,Gade Venkata Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2938,No candidate image directory references found
2025-06-03T22:12:01.021995,Andhra_Pradesh,2009,BELLAMPALLY (SC),Gunda Mallesh,https://www.myneta.info/ap09/candidate.php?candidate_id=167,No candidate image directory references found
2025-06-03T22:12:01.783423,Andhra_Pradesh,2009,BHADRACHELAM (ST),Kunja Satyavathi,https://www.myneta.info/ap09/candidate.php?candidate_id=81,No candidate image directory references found
2025-06-03T22:12:02.554252,Andhra_Pradesh,2009,BHIMAVARAM,Ramanjaneyulu Pulaparthi (Anjibabu),https://www.myneta.info/ap09/candidate.php?candidate_id=3104,No candidate image directory references found
2025-06-03T22:12:03.286750,Andhra_Pradesh,2009,BHIMLI,Muttamsetti Srinivasa Rao (Avanthi) Srinu,https://www.myneta.info/ap09/candidate.php?candidate_id=1063,No candidate image directory references found
2025-06-03T22:12:03.841458,Andhra_Pradesh,2009,BHONGIR,Alimineti Uma Madhava Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=515,No candidate image directory references found
2025-06-03T22:12:04.599968,Andhra_Pradesh,2009,BHUPALPALLE,Gandra Venkata Ramana Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=681,No candidate image directory references found
2025-06-03T22:12:05.330061,Andhra_Pradesh,2009,BOATH (ST),Godam Nagesh,https://www.myneta.info/ap09/candidate.php?candidate_id=208,No candidate image directory references found
2025-06-03T22:12:06.082896,Andhra_Pradesh,2009,BOBBILI,Venkata Sujay Krishna Ranga Rao Ravu,https://www.myneta.info/ap09/candidate.php?candidate_id=1634,No candidate image directory references found
2025-06-03T22:12:06.867321,Andhra_Pradesh,2009,BODHAN,Sudharshen Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=859,No candidate image directory references found
2025-06-03T22:12:07.613896,Andhra_Pradesh,2009,CHANDRAGIRI,Aruna Kumari Galla,https://www.myneta.info/ap09/candidate.php?candidate_id=2174,No candidate image directory references found
2025-06-03T22:12:08.302928,Andhra_Pradesh,2009,CHANDRAYANGUTTA,Akbaruddin Owaisi,https://www.myneta.info/ap09/candidate.php?candidate_id=1007,No candidate image directory references found
2025-06-03T22:12:08.968396,Andhra_Pradesh,2009,CHARMINAR,Syed Ahmed Pasha Quadri,https://www.myneta.info/ap09/candidate.php?candidate_id=995,No candidate image directory references found
2025-06-03T22:12:09.734757,Andhra_Pradesh,2009,CHEEPURUPALLE,Botcha Satyanarayana,https://www.myneta.info/ap09/candidate.php?candidate_id=1644,No candidate image directory references found
2025-06-03T22:12:10.360013,Andhra_Pradesh,2009,CHENNUR (SC),Nallala Odelu,https://www.myneta.info/ap09/candidate.php?candidate_id=159,No candidate image directory references found
2025-06-03T22:12:10.941556,Andhra_Pradesh,2009,CHEVELLA (SC),K.S.RATNAM,https://www.myneta.info/ap09/candidate.php?candidate_id=1217,No candidate image directory references found
2025-06-03T22:12:11.822740,Andhra_Pradesh,2009,CHILAKALURIPET,Prathipati Pulla Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=2998,No candidate image directory references found
2025-06-03T22:12:12.566948,Andhra_Pradesh,2009,CHINTALAPUDI (SC),Maddala Rajesh Kumar,https://www.myneta.info/ap09/candidate.php?candidate_id=3110,No candidate image directory references found
2025-06-03T22:12:13.325161,Andhra_Pradesh,2009,CHIRALA,Amanchi Krishna Mohan,https://www.myneta.info/ap09/candidate.php?candidate_id=2480,No candidate image directory references found
2025-06-03T22:12:14.047768,Andhra_Pradesh,2009,CHITTOOR,C. K. Jayachandra Reddy @ C. K. Babu,https://www.myneta.info/ap09/candidate.php?candidate_id=2251,No candidate image directory references found
2025-06-03T22:12:14.616187,Andhra_Pradesh,2009,CHODAVARAM,K Surya Naga Sanyasi Raju,https://www.myneta.info/ap09/candidate.php?candidate_id=1105,No candidate image directory references found
2025-06-03T22:12:15.364893,Andhra_Pradesh,2009,CHOPPADANDI (SC),SUDDALA DEVAIAH,https://www.myneta.info/ap09/candidate.php?candidate_id=1297,No candidate image directory references found
2025-06-03T22:12:15.963020,Andhra_Pradesh,2009,DARSI,Buchepalli Siva Prasada Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2444,No candidate image directory references found
2025-06-03T22:12:16.709785,Andhra_Pradesh,2009,DENDULURU,Prabhakar Chintamaneni,https://www.myneta.info/ap09/candidate.php?candidate_id=3107,No candidate image directory references found
2025-06-03T22:12:17.269851,Andhra_Pradesh,2009,DEVARAKONDA (ST),Balu Naik Nenavath,https://www.myneta.info/ap09/candidate.php?candidate_id=419,No candidate image directory references found
2025-06-03T22:12:18.000588,Andhra_Pradesh,2009,DEVARKADRA,Seetha Dayakar Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=300,No candidate image directory references found
2025-06-03T22:12:18.641375,Andhra_Pradesh,2009,DHARMAPURI (SC),ESHWAR KOPPULA,https://www.myneta.info/ap09/candidate.php?candidate_id=1260,No candidate image directory references found
2025-06-03T22:12:19.377040,Andhra_Pradesh,2009,DHARMAVARAM,K.Venkata Rami Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2083,No candidate image directory references found
2025-06-03T22:12:19.952425,Andhra_Pradesh,2009,DORNAKAL (ST),SATYAVATHI RATHOD,https://www.myneta.info/ap09/candidate.php?candidate_id=610,No candidate image directory references found
2025-06-03T22:12:20.685715,Andhra_Pradesh,2009,DUBBAKA,Cheruku Muthyam Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=1758,No candidate image directory references found
2025-06-03T22:12:21.414974,Andhra_Pradesh,2009,ELAMANCHILI,U V Ramanamurthy Raju (Kanna Babu),https://www.myneta.info/ap09/candidate.php?candidate_id=1162,No candidate image directory references found
2025-06-03T22:12:22.159371,Andhra_Pradesh,2009,ELURU,Alla Kali Krishna Srinivas ( Alla Nani),https://www.myneta.info/ap09/candidate.php?candidate_id=3108,No candidate image directory references found
2025-06-03T22:12:22.716696,Andhra_Pradesh,2009,ETCHERLA,Meesala Neelakantam,https://www.myneta.info/ap09/candidate.php?candidate_id=68,No candidate image directory references found
2025-06-03T22:12:23.500667,Andhra_Pradesh,2009,GADWAL,Aruna D.K.,https://www.myneta.info/ap09/candidate.php?candidate_id=337,No candidate image directory references found
2025-06-03T22:12:24.263185,Andhra_Pradesh,2009,GAJAPATHINAGARAM,Appala Narasaiah Botsa,https://www.myneta.info/ap09/candidate.php?candidate_id=1650,No candidate image directory references found
2025-06-03T22:12:24.978383,Andhra_Pradesh,2009,GANGADHARA NELLORE(SC),Kuthuhalamma Gummadi,https://www.myneta.info/ap09/candidate.php?candidate_id=2240,No candidate image directory references found
2025-06-03T22:12:25.714265,Andhra_Pradesh,2009,GIDDALUR,Anna Rambabu,https://www.myneta.info/ap09/candidate.php?candidate_id=2583,No candidate image directory references found
2025-06-03T22:12:26.476176,Andhra_Pradesh,2009,GOPALAPURAM (SC),Taneti Vanita,https://www.myneta.info/ap09/candidate.php?candidate_id=3109,No candidate image directory references found
2025-06-03T22:12:27.213594,Andhra_Pradesh,2009,GOSHAMAHAL,Mukesh Goud,https://www.myneta.info/ap09/candidate.php?candidate_id=977,No candidate image directory references found
2025-06-03T22:12:27.955782,Andhra_Pradesh,2009,GUDIVADA,Kodali Sri Venkateswara Rao ( Nani ),https://www.myneta.info/ap09/candidate.php?candidate_id=3088,No candidate image directory references found
2025-06-03T22:12:28.532200,Andhra_Pradesh,2009,GUDUR (SC),Durga Prasad Rao Balli,https://www.myneta.info/ap09/candidate.php?candidate_id=1903,No candidate image directory references found
2025-06-03T22:12:29.317621,Andhra_Pradesh,2009,GUNTAKAL,Kotrike Madhusudan,https://www.myneta.info/ap09/candidate.php?candidate_id=1964,No candidate image directory references found
2025-06-03T22:12:30.035218,Andhra_Pradesh,2009,GURUZALA,Yarapathineni Srinivasa Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=3050,No candidate image directory references found
2025-06-03T22:12:30.791637,Andhra_Pradesh,2009,HINDUPUR,P. Abdul Gani Khan,https://www.myneta.info/ap09/candidate.php?candidate_id=2049,No candidate image directory references found
2025-06-03T22:12:31.562868,Andhra_Pradesh,2009,HUSNABAD,A Praveen Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=1358,No candidate image directory references found
2025-06-03T22:12:32.319473,Andhra_Pradesh,2009,HUZURABAD,EATALA RAJENDER,https://www.myneta.info/ap09/candidate.php?candidate_id=1344,No candidate image directory references found
2025-06-03T22:12:33.046780,Andhra_Pradesh,2009,HUZURNAGAR,NALAMADA UTTAM KUMAR REDDY,https://www.myneta.info/ap09/candidate.php?candidate_id=459,No candidate image directory references found
2025-06-03T22:12:33.779547,Andhra_Pradesh,2009,ICHCHAPURAM,Piriya Sairaj,https://www.myneta.info/ap09/candidate.php?candidate_id=769,No candidate image directory references found
2025-06-03T22:12:34.514642,Andhra_Pradesh,2009,JADCHERLA,M.Chandra Shekar,https://www.myneta.info/ap09/candidate.php?candidate_id=289,No candidate image directory references found
2025-06-03T22:12:35.392935,Andhra_Pradesh,2009,JAGGAYYAPETA,Rajagopal Sreeram,https://www.myneta.info/ap09/candidate.php?candidate_id=3100,No candidate image directory references found
2025-06-03T22:12:36.141658,Andhra_Pradesh,2009,JAGTIAL,L. Ramana,https://www.myneta.info/ap09/candidate.php?candidate_id=1254,No candidate image directory references found
2025-06-03T22:12:36.865831,Andhra_Pradesh,2009,JAMMALAMADUGU,Adi Narayana Reddy Chidipiralla,https://www.myneta.info/ap09/candidate.php?candidate_id=2360,No candidate image directory references found
2025-06-03T22:12:37.599533,Andhra_Pradesh,2009,JANGOAN,Ponnala Lakshmaiah,https://www.myneta.info/ap09/candidate.php?candidate_id=575,No candidate image directory references found
2025-06-03T22:12:38.342661,Andhra_Pradesh,2009,JUBILEE HILLS,Vishnuvardhan Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=933,No candidate image directory references found
2025-06-03T22:12:39.062856,Andhra_Pradesh,2009,JUKKAL (SC),Hanmanth Shinde,https://www.myneta.info/ap09/candidate.php?candidate_id=867,No candidate image directory references found
2025-06-03T22:12:39.819688,Andhra_Pradesh,2009,KADAPA,Ahamadullah Mohammad Syed,https://www.myneta.info/ap09/candidate.php?candidate_id=2296,No candidate image directory references found
2025-06-03T22:12:40.588523,Andhra_Pradesh,2009,KADIRI,Kandikunta Venkata Prasad,https://www.myneta.info/ap09/candidate.php?candidate_id=2107,No candidate image directory references found
2025-06-03T22:12:41.326603,Andhra_Pradesh,2009,KAIKALUR,Jayamangala Venkata Ramana,https://www.myneta.info/ap09/candidate.php?candidate_id=3089,No candidate image directory references found
2025-06-03T22:12:42.111723,Andhra_Pradesh,2009,KAKINADA CITY,DwarmapudiChandra Sekhara Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2699,No candidate image directory references found
2025-06-03T22:12:42.870040,Andhra_Pradesh,2009,KALWAKURTHY,G.Jayapal Yadav,https://www.myneta.info/ap09/candidate.php?candidate_id=394,No candidate image directory references found
2025-06-03T22:12:43.649997,Andhra_Pradesh,2009,KALYANDURG,Neelakantapuram Raghuveera Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2015,No candidate image directory references found
2025-06-03T22:12:44.407103,Andhra_Pradesh,2009,KAMALAPURAM,Gandluru Veera Siva Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2344,No candidate image directory references found
2025-06-03T22:12:45.158326,Andhra_Pradesh,2009,KAMAREDDY,Goverdhan Gampa,https://www.myneta.info/ap09/candidate.php?candidate_id=1192,No candidate image directory references found
2025-06-03T22:12:45.894887,Andhra_Pradesh,2009,KANDUKUR,Maheedhar Reddy Manugunta,https://www.myneta.info/ap09/candidate.php?candidate_id=2537,No candidate image directory references found
2025-06-03T22:12:46.655853,Andhra_Pradesh,2009,KANIGIRI,Ugra Narasimha Reddy Mukku,https://www.myneta.info/ap09/candidate.php?candidate_id=2594,No candidate image directory references found
2025-06-03T22:12:47.437040,Andhra_Pradesh,2009,KARIMNAGAR,G Kamalakar,https://www.myneta.info/ap09/candidate.php?candidate_id=1278,No candidate image directory references found
2025-06-03T22:12:48.186902,Andhra_Pradesh,2009,KARWAN,MD. MUQTADA KHAN,https://www.myneta.info/ap09/candidate.php?candidate_id=966,No candidate image directory references found
2025-06-03T22:12:49.205481,Andhra_Pradesh,2009,KAVALI,Beeda Masthan Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=1837,No candidate image directory references found
2025-06-03T22:12:49.945640,Andhra_Pradesh,2009,KHAIRATABAD,Danam Nagender,https://www.myneta.info/ap09/candidate.php?candidate_id=918,No candidate image directory references found
2025-06-03T22:12:50.676860,Andhra_Pradesh,2009,Khammam,Thummala Nageswara Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=114,No candidate image directory references found
2025-06-03T22:12:51.422472,Andhra_Pradesh,2009,KHANAPUR (ST),Rathod Suman,https://www.myneta.info/ap09/candidate.php?candidate_id=199,No candidate image directory references found
2025-06-03T22:12:52.160708,Andhra_Pradesh,2009,KODAD,Chander Rao Venepalli,https://www.myneta.info/ap09/candidate.php?candidate_id=55,No candidate image directory references found
2025-06-03T22:12:52.933207,Andhra_Pradesh,2009,KODANGAL,ANUMULA REVANTH REDDY,https://www.myneta.info/ap09/candidate.php?candidate_id=255,No candidate image directory references found
2025-06-03T22:12:53.674871,Andhra_Pradesh,2009,KODUMUR (SC),Parigela Murali Krishna,https://www.myneta.info/ap09/candidate.php?candidate_id=3120,No candidate image directory references found
2025-06-03T22:12:54.411126,Andhra_Pradesh,2009,KODUR (SC),Koramutia Srinivasulu,https://www.myneta.info/ap09/candidate.php?candidate_id=2310,No candidate image directory references found
2025-06-03T22:12:55.154802,Andhra_Pradesh,2009,KOLLAPUR,Jupally Krishna Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=407,No candidate image directory references found
2025-06-03T22:12:55.879374,Andhra_Pradesh,2009,KONDAPI (SC),Gurrala Venkata Seshu,https://www.myneta.info/ap09/candidate.php?candidate_id=2547,No candidate image directory references found
2025-06-03T22:12:56.626573,Andhra_Pradesh,2009,KORUTLA,Kalvakuntla Vidyasagar Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=1241,No candidate image directory references found
2025-06-03T22:12:57.475489,Andhra_Pradesh,2009,KOTHAGUDEM,Kunamneni Sambasiva Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=753,No candidate image directory references found
2025-06-03T22:12:58.239071,Andhra_Pradesh,2009,KOTHAPETA,Bandaru Satyananda Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=2774,No candidate image directory references found
2025-06-03T22:12:59.003521,Andhra_Pradesh,2009,KOVUR,Nallapareddy Prasanna Kumar Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=1856,No candidate image directory references found
2025-06-03T22:12:59.752361,Andhra_Pradesh,2009,KOVVUR (SC),T. V. RAMA RAO,https://www.myneta.info/ap09/candidate.php?candidate_id=3102,No candidate image directory references found
2025-06-03T22:13:00.489519,Andhra_Pradesh,2009,KURUPAM (ST),Janardhana Thotraj Veeravara Thodaramala,https://www.myneta.info/ap09/candidate.php?candidate_id=1611,No candidate image directory references found
2025-06-03T22:13:01.222643,Andhra_Pradesh,2009,LAL BAHADUR NAGAR,Sudheer Reddy Devireddy,https://www.myneta.info/ap09/candidate.php?candidate_id=1496,No candidate image directory references found
2025-06-03T22:13:01.965182,Andhra_Pradesh,2009,MACHERLA,Rama Krishna Reddy Pinnelli,https://www.myneta.info/ap09/candidate.php?candidate_id=3066,No candidate image directory references found
2025-06-03T22:13:02.713688,Andhra_Pradesh,2009,MACHILIPATNAM,Perni Venkataramaiah,https://www.myneta.info/ap09/candidate.php?candidate_id=3091,No candidate image directory references found
2025-06-03T22:13:03.433692,Andhra_Pradesh,2009,MADAKASIRA (SC),K. Sudhakar,https://www.myneta.info/ap09/candidate.php?candidate_id=2045,No candidate image directory references found
2025-06-03T22:13:04.162088,Andhra_Pradesh,2009,MADANAPALLE,M. Shajahan Basha,https://www.myneta.info/ap09/candidate.php?candidate_id=2150,No candidate image directory references found
2025-06-03T22:13:04.914910,Andhra_Pradesh,2009,MADIRA (SC),Bhatti Vikramarka Mallu,https://www.myneta.info/ap09/candidate.php?candidate_id=724,No candidate image directory references found
2025-06-03T22:13:05.661528,Andhra_Pradesh,2009,MADUGULA,G Rama Naidu,https://www.myneta.info/ap09/candidate.php?candidate_id=1115,No candidate image directory references found
2025-06-03T22:13:06.372786,Andhra_Pradesh,2009,MAHABUBABAD (ST),KAVITHA MALOTH,https://www.myneta.info/ap09/candidate.php?candidate_id=618,No candidate image directory references found
2025-06-03T22:13:07.119384,Andhra_Pradesh,2009,MAHBUBNAGAR,N. Rajeshwar Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=286,No candidate image directory references found
2025-06-03T22:13:07.860642,Andhra_Pradesh,2009,MAHESHWARAM,Patlolla Sabitha,https://www.myneta.info/ap09/candidate.php?candidate_id=1528,No candidate image directory references found
2025-06-03T22:13:08.593980,Andhra_Pradesh,2009,MAKTHAL,K.Dayakar Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=314,No candidate image directory references found
2025-06-03T22:13:09.335684,Andhra_Pradesh,2009,MANAKONDUR (SC),Arepally Mohan,https://www.myneta.info/ap09/candidate.php?candidate_id=1332,No candidate image directory references found
2025-06-03T22:13:10.081571,Andhra_Pradesh,2009,MANCHERIAL,Aravinda reddy Gaddam,https://www.myneta.info/ap09/candidate.php?candidate_id=174,No candidate image directory references found
2025-06-03T22:13:10.829227,Andhra_Pradesh,2009,MANDAPETA,Vegulla Jogeswara Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=2782,No candidate image directory references found
2025-06-03T22:13:11.556822,Andhra_Pradesh,2009,MANGALAGIRI,Kamala Kandru,https://www.myneta.info/ap09/candidate.php?candidate_id=2859,No candidate image directory references found
2025-06-03T22:13:12.309651,Andhra_Pradesh,2009,MANTHANI,Duddilla Sridhar Babu,https://www.myneta.info/ap09/candidate.php?candidate_id=1802,No candidate image directory references found
2025-06-03T22:13:13.076462,Andhra_Pradesh,2009,MANTRALAYAM,Y.Balanagi Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=3122,No candidate image directory references found
2025-06-03T22:13:13.817379,Andhra_Pradesh,2009,MARKAPURAM,Kandula Narayana Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2562,No candidate image directory references found
2025-06-03T22:13:14.555149,Andhra_Pradesh,2009,MEDAK,Mynampalli Hanmanth Rao,https://www.myneta.info/ap09/candidate.php?candidate_id=1693,No candidate image directory references found
2025-06-03T22:13:15.295646,Andhra_Pradesh,2009,MEDCHAL,Kichannagari Laxma Reddy (KLR),https://www.myneta.info/ap09/candidate.php?candidate_id=1422,No candidate image directory references found
2025-06-03T22:13:16.031198,Andhra_Pradesh,2009,Miryalaguda,JULAKANTI RANGA REDDY,https://www.myneta.info/ap09/candidate.php?candidate_id=449,No candidate image directory references found
2025-06-03T22:13:16.777272,Andhra_Pradesh,2009,MUDHOLE,Venugopala Chary.S,https://www.myneta.info/ap09/candidate.php?candidate_id=224,No candidate image directory references found
2025-06-03T22:13:17.487505,Andhra_Pradesh,2009,MULUG (ST),Anasuya Dansari,https://www.myneta.info/ap09/candidate.php?candidate_id=700,No candidate image directory references found
2025-06-03T22:13:18.235874,Andhra_Pradesh,2009,MUMMIDIVARAM,Ponnada Venkata Satish Kumar,https://www.myneta.info/ap09/candidate.php?candidate_id=2727,No candidate image directory references found
2025-06-03T22:13:19.008458,Andhra_Pradesh,2009,MUNUGODE,VUJJINI YADAGIRI RAO,https://www.myneta.info/ap09/candidate.php?candidate_id=503,No candidate image directory references found
2025-06-03T22:13:19.721434,Andhra_Pradesh,2009,MUSHEERABAD,T. Manemma,https://www.myneta.info/ap09/candidate.php?candidate_id=884,No candidate image directory references found
2025-06-03T22:13:20.470470,Andhra_Pradesh,2009,MYDUKUR,Duggireddy Lakshmi Reddy Ravindra Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=2390,No candidate image directory references found
2025-06-03T22:13:21.226316,Andhra_Pradesh,2009,MYLAVARAM,Uma Maheswara Rao Devineni,https://www.myneta.info/ap09/candidate.php?candidate_id=3098,No candidate image directory references found
2025-06-03T22:13:22.040239,Andhra_Pradesh,2009,NAGARI,Gali Muddukrishnama Naidu,https://www.myneta.info/ap09/candidate.php?candidate_id=2230,No candidate image directory references found
2025-06-03T22:13:22.795942,Andhra_Pradesh,2009,NAGARJUNA SAGAR,Kunduru Jana Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=427,No candidate image directory references found
2025-06-03T22:13:23.550122,Andhra_Pradesh,2009,NAGARKURNOOL,Dr.Nagam Janardhan Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=374,No candidate image directory references found
2025-06-03T22:13:24.294499,Andhra_Pradesh,2009,NAKREKAL (SC),Chirumarthy Lingaiah,https://www.myneta.info/ap09/candidate.php?candidate_id=528,No candidate image directory references found
2025-06-03T22:13:25.043391,Andhra_Pradesh,2009,NALGONDA,KOMATIREDDY VENKAT REDDY,https://www.myneta.info/ap09/candidate.php?candidate_id=491,No candidate image directory references found
2025-06-03T22:13:25.769814,Andhra_Pradesh,2009,NAMPALLI,Mohd. Virasat Rasool Khan,https://www.myneta.info/ap09/candidate.php?candidate_id=24,No candidate image directory references found
2025-06-03T22:13:26.501279,Andhra_Pradesh,2009,NANDIGAMA (SC),Prabhakara Rao Tangirala,https://www.myneta.info/ap09/candidate.php?candidate_id=3099,No candidate image directory references found
2025-06-03T22:13:27.226576,Andhra_Pradesh,2009,NANDIKOTKUR (SC),Labbi Venkataswamy,https://www.myneta.info/ap09/candidate.php?candidate_id=3113,No candidate image directory references found
2025-06-03T22:13:27.973496,Andhra_Pradesh,2009,NANDYAL,Silpa Mohan Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=3116,No candidate image directory references found
2025-06-03T22:13:28.738297,Andhra_Pradesh,2009,NARASANNAPETA,Dharmana Krishna Das,https://www.myneta.info/ap09/candidate.php?candidate_id=798,No candidate image directory references found
2025-06-03T22:13:29.478098,Andhra_Pradesh,2009,NARASAPURAM,Mudunuri Prasada Raju,https://www.myneta.info/ap09/candidate.php?candidate_id=3103,No candidate image directory references found
2025-06-03T22:13:30.199939,Andhra_Pradesh,2009,NARASARAOPET,Kasu Venkata Krishna Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=3013,No candidate image directory references found
2025-06-03T22:13:30.942756,Andhra_Pradesh,2009,NARAYANKHED,Patlolla Kista Reddy,https://www.myneta.info/ap09/candidate.php?candidate_id=1705,No candidate image directory references found
